Date,Time,To,Number / Location,Duration
Nov 19 2011,23:00,Unknown Premium rate,Manchester,20mins
Nov 21 2011,23:15,Unknown Premium rate,Leeds,20mins
Nov 30 2011,23:15,Unknown Premium rate,London,20mins
Dec 2 2011,23:00,Unknown Premium rate,London,20mins
Dec 4 2011,7:00,Angeletti,Leeds,5mins
Dec 4 2011,9:10,Unknown1,Leeds,15mins
Dec 4 2011,20:15,Angeletti,Leeds,5mins
Dec 4 2011,20:20,Unknown2,Leeds,15mins
Dec 4 2011,21:45,Oberto,Leeds,5mins
Dec 4 2011,22:10,Angeletti,Leeds,5mins
Dec 4 2011,22:20,Unknown3,Leeds,15mins
Dec 5 2011,9:00,Unknown4,Leeds,15mins
Dec 5 2011,10:15,Angeletti,Leeds,5mins
Dec 5 2011,10:20,Oberto,Leeds,5mins
Dec 5 2011,10:25,Oberto,Leeds,5mins
