Date,Time,To,Number / Location,Duration
Dec 17 2011,9:20,Ricord,Leeds,20mins
Dec 17 2011,10:00,Grosby,Leeds,10mins
Dec 17 2011,10:15,Sarti,Exeter,10mins
Dec 17 2011,11:30,Unknown,London,45mins
Dec 17 2011,17:50,Sarti,Exeter,5mins
Dec 18 2011,7:50,Ricord,Leeds,5mins
Dec 18 2011,8:00,Grosby,Leeds,5mins
Dec 18 2011,11:30,Unknown,London,45mins
Dec 18 2011,12:00,Angeletti,Leeds,10mins
Dec 18 2011,14:00,Unknown,London,20mins
Dec 18 2011,10:00,Sarti,Leeds,15mins
Dec 18 2011,18:00,Grosby,Leeds,30mins
Dec 19 2011,17:55,Ricord,Leeds,5mins
Dec 19 2011,18:00,Grosby,Leeds,5mins
Dec 19 2011,18:05,Sarti,Leeds,5mins
