Date,Time,To,Number / Location,Duration
July 20 2011,4:00,"Dean White, Atlanta Holdings ",Atlanta USA,105mins
July 20 2011,8:15,Ricord ,Leeds,30mins
July 20 2011,10:00,Grosby home,Leeds,10mins
July 20 2011,10:30,Ricord,Leeds,15mins
July 20 2011,11:50,David,Exeter,50mins
July 20 2011,12:00,Ricord,Leeds,15mins
July 20 2011,12:15,Bonsignour,Exeter,10mins
July 20 2011,12:30,"Tood Smith, Atlanta Holdings",Atlanta USA,60mins
July 20 2011,14:00,Ricord,Leeds,30mins
July 20 2011,15:00,Garlica,Leeds,15mins
July 20 2011,15:15,Ricord,Leeds,10mins
July 20 2011,15:30,Garlica,Leeds,15mins
July 20 2011,16:00,Garlica,Leeds,30mins
July 20 2011,18:00,Garlica,Leeds,15mins
July 20 2011,21:00,Perrin,Exeter,30mins
