Date,Time,To,Number / Location,Duration
Aug 9 2012,19:00,S Ajachinsky,Leeds,30mins
Aug 9 2012,17:15,D Cobo,Exeter,5mins
Aug 9 2012,23:15,D Ajachinsky,Leeds,10mins
Aug 11 2012,19:00,S Ajachinsky,Leeds,5mins
Aug 12 2012,20:00,D Cobo,Exeter,10mins
Aug 12 2012,20:10,Unknown1,Exeter,5mins
Aug 12 2012,20:15,Unknown2,Exeter,5mins
Aug 14 2012,19:00,S Ajachinsky,Leeds,30mins
Aug 16 2012,11:45,S Ajachinsky,Leeds,30mins
Aug 19 2012,12:10,D Ajachinsky,Leeds,15mins
Aug 19 2012,17:20,D Cobo,Exeter,5mins
Aug 19 2012,23:00,D Cobo,Exeter,5mins
Aug 20 2012,10:15,D Cobo,Exeter,5mins
Aug 20 2012,0:20,S Ajachinsky,Leeds,5mins
Aug 21 2012,13:25,S Ajachinsky,Leeds,5mins
