Date,Time,To,Number / Location,Duration
Nov 1 2011,10:00,Condiere,Leeds,20mins
Nov 1 2011,11:15,Ricord,Leeds,5mins
Nov 3 2011,12:15,Cesar,Leeds,20mins
Nov 4 2011,14:00,Perrin,Leeds,30mins
Nov 5 2011,11:00,Condiere,Leeds,20mins
Nov 6 2011,10:00,Cesar,Leeds,20mins
Nov 6 2011,11:15,Cesar,Leeds,10mins
Nov 7 2011,14:20,Sarti,Exeter,15mins
Nov 8 2011,11:45,Condiere,Leeds,20mins
Nov 9  2011,9:10,Unknown1,Lincoln,20mins
Nov 9  2011,11:20,Sarti,Exeter,15mins
Nov 9  2011,14:00,Unknown2,Preston,20mins
Nov 9  2011,15:15,Condiere,Leeds,20mins
Nov 9  2011,15:20,Cesar,Leeds,20mins
Nov 9  2011,16:25,Cesar,Leeds,5mins
