Date,Time,To,Number / Location,Duration
July 9 2012,17:15,D Ajachinsky,Leeds,30mins
July 10 2012,17:15,D Ajachinsky,Leeds,30mins
July 11 2012,17:15,D Ajachinsky,Leeds,30mins
July 11 2012,19:00,D Ajachinsky,Leeds,5mins
July 12 2012,1:20,Ricord,Leeds,10mins
July 12 2012,11:00,D Ajachinsky,Leeds,5mins
July 12 2012,11:20,D Ajachinsky,Leeds,5mins
July 12 2012,11:30,D Ajachinsky,Leeds,5mins
July 12 2012,11:45,J Ajachinsky,Leeds,5mins
July 12 2012,12:10,D Ajachinsky,Leeds,5mins
July 12 2012,12:20,D Ajachinsky,Leeds,5mins
July 12 2012,13:00,J Ajachinsky,Leeds,5mins
July 12 2012,13:15,J Ajachinsky,Leeds,5mins
July 12 2012,13:20,D Ajachinsky,Leeds,5mins
July 12 2012,13:25,D Ajachinsky,Leeds,5mins
