Date,Time,To,Number / Location,Duration
Oct 30 2011,19:00,David,Exmouth,45mins
Nov 1 2011,8:00,David,Exmouth,10mins
Nov 1 2011,9:00,Bertz Van Rental,Exmouth,10mins
Nov 1  2011,19:00,David,Exmouth,50mins
Nov 2 2011,8:00,David,Exmouth,10mins
Nov 2  2011,10:00,Unknown1,Manchester,30mins
Nov 2 2011,19:00,David,Exmouth,40mins
Nov 4 2011,14:20,Unknown2,Exeter,15mins
Nov 18 2011,11:45,Perrin,Exmouth,20mins
Nov 21  2011,8:00,David,Exmouth,10mins
Nov 21  2011,19:00,David,Exmouth,75mins
Nov 22  2011,8:00,David,Exmouth,10mins
Nov 22  2011,15:15,Unknown2,Exeter,20mins
Nov 22  2011,15:40,Unknown3,Leeds,20mins
Nov 22  2011,19:00,David,Exmouth,35mins
