Date,Time,To,Number / Location,Duration
Aug 01 2012,11:00,M. Sarti,27 Spicer Rd. Exeter,3 days
Aug 01 2012,11:15,D. Pope,1 High Rd. Dawlish,1 days
Aug 01 2012,11:15,F. Davis,"19, Roseberry Road, Exmouth",7 days
Aug 01 2012,11:30,G. Good,"71, Albion Hill, Exmouth",4 days
Aug 01 2012,11:45,R. Smith,"Hillcrest, Pound St., Exmouth",1 days
Aug 01 2012,11:50,S. Garry,"12, South Street, Exmouth",2 days
Aug 01 2012,11:50,D. Dean,"4, The Beacon, Exmouth",1 days
Aug 01 2012,12:00,F. Cobo,"25, Albion Hill, Exmouth",1 days
Aug 01 2012,12:00,R. Henson,"62, Fore Street, Exmouth",3 days
SEP 09 2012,11:00,F. Davis,"19, Roseberry Road, Exmouth",7 days
SEP 09 2012,11:15,D. Pope,1 High Rd. Dawlish,1 days
SEP 09 2012,11:15,M. Sarti,"27, Spicer Rd., Exeter",3 days
SEP 09 2012,11:30,F.R. Hill,"17, Rolle Road, Exmouth",1 days
SEP 09 2012,11:45,F. Davis,"19, Roseberry Road, Exmouth",1 days
SEP 09 2012,11:50,B. Stone,"12, South Street, Exmouth",2 days
SEP 09 2012,11:50,M. Russell,"44, High View Gdns, Exmouth",1 days
SEP 09 2012,12:00,F. Davis,"19, Roseberry Road, Exmouth",1 days
SEP 09 2012,12:00,D. Weale,"62, Beacon Place, Exmouth",3 days
Nov 01 2011,11:00,F. Baker,"275, Portland Ave, Exmouth",1 days
Nov 01 2011,11:15,F. Davis,"19, Roseberry Road, Exmouth",1 days
Nov 01 2011,11:15,M. Sarti,"27, Spicer Rd., Exeter",3 days
Nov 01 2011,11:30,H.P. Nation,"77, Douglas Ave, Exmouth",1 days
Nov 01 2011,11:45,T. Cruise,"4, Magnolia Court, Exmouth",1 days
Nov 01 2011,11:50,T. Jackson,"12, Fore Street, Exmouth",1 days
Nov 01 2011,11:50,T. Collins,"72, Long Causeway, Exmouth",3 days
Nov 01 2011,12:00,F. Davis,"19, Roseberry Road, Exmouth",1 days
Nov 01 2011,12:00,W. Cooper,"62, Raddenstile Ln, Exmouth",2 days
